City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-3.66,83,75,5.66,CA,1712010833
1,tura,25.5198,90.2201,20.29,81,4,2.54,IN,1712010853
2,cidreira,-30.1811,-50.2056,23.32,89,4,5.6,BR,1712010853
3,adamstown,-25.066,-130.1015,23.87,77,94,7.74,PN,1712010854
4,vila velha,-20.3297,-40.2925,26.97,81,75,3.09,BR,1712010447
5,vilyuchinsk,52.9306,158.4028,0.15,79,52,4.52,RU,1712010854
6,usogorsk,63.4106,48.6872,0.37,93,100,5.06,RU,1712010854
7,longyearbyen,78.2186,15.6401,-16.09,78,75,2.06,SJ,1712010855
8,tromso,69.6496,18.957,-8.99,86,0,1.54,NO,1712010855
9,grytviken,-54.2811,-36.5092,1.51,85,26,4.25,GS,1712010855
10,keflavik,64.0049,-22.5624,-3.76,54,20,11.32,IS,1712010855
11,papatowai,-46.5619,169.4708,14.71,64,58,0.52,NZ,1712010856
12,imbituba,-28.24,-48.6703,22.68,90,33,5.23,BR,1712010856
13,bredasdorp,-34.5322,20.0403,16.98,77,31,6.77,ZA,1712010856
14,westport,41.1415,-73.3579,12.19,63,100,0.45,US,1712010800
15,akobo,7.4344,3.9497,25.04,91,100,1.75,NG,1712010857
16,tiksi,71.6872,128.8694,-10.04,91,100,2.66,RU,1712010857
17,pikeville,37.4793,-82.5188,26.77,50,100,2.57,US,1712010692
18,port-aux-francais,-49.35,70.2167,6.44,76,50,8.6,TF,1712010857
19,mustafabad,30.8922,73.4989,18.66,30,64,1.34,PK,1712010857
20,kailua-kona,19.6406,-155.9956,26.27,80,40,4.12,US,1712010858
21,pariaman,-0.619,100.12,26.03,91,95,1.59,ID,1712010858
22,west island,-12.1568,96.8225,26.99,83,40,5.66,CC,1712010858
23,talnakh,69.4865,88.3972,-15.87,96,100,6.17,RU,1712010647
24,mpanda,-6.3655,31.0409,18.43,97,75,0.51,TZ,1712010859
25,olonkinbyen,70.9221,-8.7187,-5.41,57,100,5.51,SJ,1712010859
26,colonia,50.9333,6.95,9.98,84,0,4.12,DE,1712010604
27,altentreptow,53.6833,13.25,9.18,82,100,9.37,DE,1712010859
28,waitangi,-43.9535,-176.5597,14.34,79,100,0.89,NZ,1712010860
29,dudinka,69.4058,86.1778,-15.18,90,100,6.26,RU,1712010860
30,invercargill,-46.4,168.35,15.01,76,8,1.79,NZ,1712010860
31,albany,42.6001,-73.9662,13.23,50,99,0.45,US,1712010852
32,bethel,41.3712,-73.414,12.05,52,75,2.06,US,1712010637
33,troitsk,54.0979,61.5773,1.68,100,98,4.92,RU,1712010861
34,trinidad,-14.8333,-64.9,28.99,79,40,2.57,BO,1712010861
35,saipan,15.1355,145.701,28.39,1,40,8.75,MP,1712010862
36,sola,-13.8833,167.55,27.61,79,44,5.49,VU,1712010862
37,iwanai,42.9744,140.5089,2.71,69,98,6.19,JP,1712010862
38,fortuna,40.5982,-124.1573,18.85,68,0,6.17,US,1712010862
39,vorgashor,67.5833,63.95,-17.61,99,100,2.72,RU,1712010863
40,klyuchi,52.2667,79.1667,2.46,75,100,3.59,RU,1712010863
41,ivdel',60.6911,60.4206,-2.76,92,97,1.79,RU,1712010740
42,port hedland,-20.3167,118.5667,27.03,47,1,2.57,AU,1712010863
43,iqaluit,63.7506,-68.5145,0.85,86,100,12.35,CA,1712010613
44,port mathurin,-19.6833,63.4167,26.12,85,91,6.22,MU,1712010864
45,ushuaia,-54.8,-68.3,9.81,53,40,6.69,AR,1712010605
46,likasi,-10.9814,26.7333,18.02,99,100,0.2,CD,1712010865
47,chonchi,-42.6128,-73.8092,13.56,87,70,1.0,CL,1712010715
48,edinburgh of the seven seas,-37.0676,-12.3116,18.55,92,76,9.37,SH,1712010865
49,isafjordur,66.0755,-23.124,-3.76,79,99,11.23,IS,1712010725
